activity_id,user_id,username,activity_type,ip_address,device,browser,location,login_count,timestamp,description
28,33,vduckerr,Password Change,212.190.65.18,Microsoft Surface Pro,Brave,Notranje Gorice,34,2024-03-30T12:28:47Z,Password updated from Notranje Gorice on Microsoft Surface Pro.
29,30,cabbetts,Logout,60.181.68.147,Google Pixel 7,Google Chrome,Viga,80,2024-08-14T17:37:37Z,Session closed from IP 60.181.68.147 and Google Pixel 7.
30,5,aprowset,Password Change,226.165.103.234,Microsoft Surface Pro,Safari,Huangkeng,12,2023-12-03T09:53:18Z,User updated security credentials successfully.
31,9,cverteyu,Logout,192.190.254.170,iPhone 14,Google Chrome,Adraskan,83,2024-05-27T02:26:32Z,Logout completed from Google Chrome on iPhone 14.
32,29,bgladdolphv,Password Change,182.53.62.41,MacBook Pro,Opera,Bo Phloi,47,2024-09-06T08:03:23Z,User updated their account password.
33,7,lmaclleesew,Login,183.22.45.191,Google Pixel 7,Safari,Severobaykal’sk,11,2024-10-02T14:15:09Z,User successfully logged into the system from Severobaykal’sk on Google Pixel 7.
34,38,mcowtherdx,Logout,189.47.11.169,HP Pavilion Laptop,Microsoft Edge,Myski,10,2025-01-11T22:12:09Z,Logout completed from Microsoft Edge on HP Pavilion Laptop.
35,4,ngehrelsy,Password Change,221.190.88.47,OnePlus 9,Brave,Kama,73,2024-10-15T15:43:45Z,User updated their account password.
36,13,ssinsonz,Logout,253.123.5.16,Samsung Galaxy S22,Google Chrome,Ning’an,83,2024-11-29T23:21:15Z,User signed out from their account on Samsung Galaxy S22.
37,21,rvasyukhnov10,Password Change,53.117.74.172,Xiaomi Mi 11,Google Chrome,Saumur,80,2024-10-31T20:08:43Z,Password reset completed for user.
38,44,abridgeman11,Logout,4.123.57.157,Google Pixel 7,Microsoft Edge,Ait Ali,53,2024-10-14T03:44:10Z,Session closed from IP 4.123.57.157 and Google Pixel 7.
39,43,jbounds12,Logout,7.119.247.99,Microsoft Surface Pro,Google Chrome,Vadstena,6,2024-10-28T10:55:24Z,Session terminated for user on Microsoft Surface Pro.
40,34,hrobillart13,Logout,17.79.135.108,Microsoft Surface Pro,Brave,Pinhal de Frades,48,2024-07-04T16:28:01Z,User logged out of the system successfully.
41,42,klimpertz14,Password Change,66.37.52.99,Google Pixel 7,Microsoft Edge,Wangchuanchang,52,2024-08-01T09:46:39Z,Password modification successful for account.
42,27,mpottinger15,Logout,7.67.108.156,Microsoft Surface Pro,Google Chrome,Villa Urquiza,50,2025-01-16T17:52:01Z,Logout detected from Villa Urquiza using Microsoft Surface Pro.
43,32,idibner16,Login,67.165.231.216,Lenovo ThinkPad,Mozilla Firefox,Fort Lauderdale,80,2024-02-28T01:54:12Z,New login detected from Lenovo ThinkPad in Fort Lauderdale.
44,47,mphippin17,Logout,69.248.144.228,Lenovo ThinkPad,Google Chrome,Jiamaying,78,2024-12-25T02:35:26Z,Logout completed from Google Chrome on Lenovo ThinkPad.
45,11,elassey18,Logout,160.183.57.49,Samsung Galaxy S22,Safari,Tīkāpur,94,2024-07-10T05:04:27Z,Logout detected from Tīkāpur using Samsung Galaxy S22.
46,50,aboribal19,Login,131.122.21.144,MacBook Pro,Mozilla Firefox,Janakpur,39,2024-12-01T17:08:06Z,User accessed the account via Mozilla Firefox from 131.122.21.144.
47,6,babbys1a,Logout,23.154.153.22,Microsoft Surface Pro,Google Chrome,Saverne,100,2024-04-22T00:10:57Z,Logout completed from Google Chrome on Microsoft Surface Pro.
48,16,vshilstone1b,Logout,157.117.66.160,Dell XPS 13,Microsoft Edge,Sukhobuzimskoye,78,2023-12-12T20:27:36Z,User logged out of the system successfully.
49,39,mkittiman1c,Logout,37.180.9.188,iPhone 14,Safari,Taraan,81,2024-05-25T15:24:25Z,Session closed from IP 37.180.9.188 and iPhone 14.
50,37,mgladeche1d,Login,219.110.139.191,Lenovo ThinkPad,Brave,Wenxian Chengguanzhen,80,2024-09-02T09:45:47Z,Login detected from Wenxian Chengguanzhen using Lenovo ThinkPad.
51,10,kdaws1e,Logout,123.40.202.136,iPhone 14,Google Chrome,Daytona Beach,53,2024-02-23T00:28:15Z,Session terminated for user on iPhone 14.
52,26,pcroix1f,Logout,23.106.103.203,Microsoft Surface Pro,Brave,Montenegro,39,2024-09-02T18:31:55Z,User logged out of the system successfully.
53,44,achadderton1g,Password Change,199.81.177.154,OnePlus 9,Microsoft Edge,Haenam,71,2024-04-03T02:18:43Z,Password reset completed for user.
54,22,rmolines1h,Logout,225.21.54.60,HP Pavilion Laptop,Brave,Batasan,89,2024-02-11T05:52:10Z,User signed out from their account on HP Pavilion Laptop.
55,11,grevel1i,Password Change,91.250.20.54,Google Pixel 7,Safari,Haiphong,52,2024-08-12T11:19:55Z,Password modification successful for account.
56,20,mredmire1j,Logout,66.150.64.238,Dell XPS 13,Mozilla Firefox,Goya,15,2024-07-23T10:51:11Z,Logout detected from Goya using Dell XPS 13.
57,17,lmcmaster1k,Login,43.37.72.51,Xiaomi Mi 11,Google Chrome,Assiniboia,26,2024-01-29T20:44:08Z,Login detected from Assiniboia using Xiaomi Mi 11.
58,9,gproudler1l,Password Change,180.127.88.118,HP Pavilion Laptop,Opera,Rancho Nuevo,73,2024-09-17T16:34:46Z,User updated security credentials successfully.
59,12,ygiovannardi1m,Password Change,29.124.218.231,Lenovo ThinkPad,Brave,Nasilava,83,2024-09-26T21:35:02Z,Password changed from IP 29.124.218.231 on Lenovo ThinkPad.
60,3,rkestin1n,Logout,88.139.182.159,MacBook Pro,Microsoft Edge,Cipeundeuy,32,2024-06-25T16:34:37Z,Logout completed from Microsoft Edge on MacBook Pro.
61,35,kallonby1o,Login,51.112.22.179,Microsoft Surface Pro,Opera,Tuxi,29,2025-01-27T01:30:50Z,User logged in from IP 51.112.22.179 using Opera on Microsoft Surface Pro.
62,34,ehince1p,Login,53.93.145.97,Dell XPS 13,Safari,Lanipao,19,2024-05-24T01:00:06Z,Login detected from Lanipao using Dell XPS 13.
63,44,dtorbeck1q,Login,192.180.191.240,OnePlus 9,Microsoft Edge,Richmond,39,2024-10-28T14:48:49Z,User accessed the account via Microsoft Edge from 192.180.191.240.
64,4,tbanke1r,Logout,248.9.62.55,Lenovo ThinkPad,Mozilla Firefox,Zhouhu,52,2024-09-19T05:31:11Z,Logout completed from Mozilla Firefox on Lenovo ThinkPad.
65,24,vwilne1s,Password Change,166.52.200.24,Samsung Galaxy S22,Microsoft Edge,Pyhäranta,90,2024-07-16T06:08:04Z,Password modification successful for account.
66,28,bratley1t,Password Change,60.4.244.252,MacBook Pro,Microsoft Edge,Ogoja,62,2025-01-30T11:21:47Z,Password reset completed for user.
67,42,amattek1u,Password Change,135.67.182.225,iPhone 14,Google Chrome,Oehala,65,2024-09-04T07:11:19Z,User updated security credentials successfully.
68,28,lbloxsom1v,Login,181.120.159.12,OnePlus 9,Brave,Wingham,9,2024-11-11T02:17:52Z,Login attempt successful from Wingham using Brave.
69,8,mgethyn1w,Login,208.18.128.48,Dell XPS 13,Mozilla Firefox,Lanxi,57,2024-10-14T06:04:24Z,Login detected from Lanxi using Dell XPS 13.
70,44,fbarnewell1x,Login,58.157.181.216,Xiaomi Mi 11,Safari,Zaragoza,10,2025-01-26T01:35:23Z,User logged in from IP 58.157.181.216 using Safari on Xiaomi Mi 11.
71,6,sbryenton1y,Logout,67.173.75.99,iPhone 14,Opera,Xinjiezhen,98,2024-11-15T16:29:49Z,User logged out from IP 67.173.75.99.
72,18,idolby1z,Logout,72.142.104.190,Dell XPS 13,Microsoft Edge,Phayao,90,2024-06-09T00:08:09Z,Session closed from IP 72.142.104.190 and Dell XPS 13.
73,12,kfetters20,Login,79.193.142.241,iPhone 14,Google Chrome,Prainha de Baixo,76,2024-01-24T08:35:47Z,User logged in from a new device: iPhone 14 at 2024-01-24T08:35:47Z.
74,18,smetcalf21,Login,59.50.229.100,Dell XPS 13,Google Chrome,San Francisco,65,2024-01-12T22:49:48Z,User logged in from IP 59.50.229.100 using Google Chrome on Dell XPS 13.
75,40,amckinty22,Login,207.167.48.124,Samsung Galaxy S22,Opera,Little Rock,27,2024-12-27T09:50:52Z,User accessed the account via Opera from 207.167.48.124.
76,39,mmatiebe23,Password Change,65.33.103.168,HP Pavilion Laptop,Safari,Bollnäs,50,2024-04-20T03:49:41Z,User changed password successfully.
77,27,hpeaseman24,Password Change,60.8.152.62,MacBook Pro,Brave,Kedungsumurkrajan,27,2025-01-14T16:03:52Z,Password changed from IP 60.8.152.62 on MacBook Pro.
78,10,rpoppleton25,Login,196.65.103.15,MacBook Pro,Opera,Marseille,56,2024-11-02T13:01:11Z,User logged in from IP 196.65.103.15 using Opera on MacBook Pro.
79,37,skalisz26,Password Change,67.146.80.17,Google Pixel 7,Microsoft Edge,Jāmpur,49,2025-01-09T19:57:25Z,User updated security credentials successfully.
80,38,bskeels27,Logout,172.177.226.100,Dell XPS 13,Opera,Kabarnet,85,2024-10-24T09:09:45Z,Session terminated for user on Dell XPS 13.
81,43,rbrunnstein28,Password Change,73.230.172.69,Lenovo ThinkPad,Google Chrome,Sam Phran,66,2024-03-31T01:44:29Z,User changed password successfully.
82,37,tenrigo29,Logout,199.165.62.116,Google Pixel 7,Mozilla Firefox,Bantawora,43,2024-09-27T03:26:08Z,Logout detected from Bantawora using Google Pixel 7.
83,25,tblant2a,Login,130.210.138.197,iPhone 14,Microsoft Edge,Papringan,0,2023-12-07T15:40:24Z,User accessed the account via Microsoft Edge from 130.210.138.197.
84,20,asimnett2b,Password Change,73.22.133.201,Lenovo ThinkPad,Safari,Pancheng,77,2024-05-20T20:08:07Z,Password reset completed for user.
85,19,dayrs2c,Password Change,245.142.156.112,Lenovo ThinkPad,Microsoft Edge,Eybens,69,2024-02-07T20:11:33Z,Password modification successful for account.
86,4,kcoulsen2d,Password Change,223.8.210.236,Lenovo ThinkPad,Opera,Houping,30,2024-09-25T11:43:08Z,Password modification successful for account.
87,8,aleghorn2e,Logout,78.115.20.178,HP Pavilion Laptop,Safari,Pulautemiang,46,2025-01-28T04:23:05Z,Logout detected from Pulautemiang using HP Pavilion Laptop.
88,16,icalverd2f,Password Change,45.148.98.172,Google Pixel 7,Safari,Minami-rinkan,76,2024-06-14T10:28:48Z,Password reset completed for user.
89,15,nfarfolomeev2g,Logout,60.57.190.199,HP Pavilion Laptop,Brave,Beiwenquan,29,2024-12-19T14:12:14Z,Logout detected from Beiwenquan using HP Pavilion Laptop.
90,2,cbunner2h,Password Change,221.141.42.136,HP Pavilion Laptop,Safari,Chapelton,1,2024-11-07T19:53:37Z,Password modification successful for account.
91,43,abowditch2i,Login,31.108.95.170,MacBook Pro,Brave,Tiabaya,89,2024-09-07T16:39:45Z,Login attempt successful from Tiabaya using Brave.
92,16,emcglade2j,Logout,133.184.197.182,HP Pavilion Laptop,Safari,Loandjili,68,2024-08-20T23:42:16Z,User logged out of the system successfully.
93,18,pbroschek2k,Login,211.219.164.45,Google Pixel 7,Brave,Kertanegla,15,2024-10-27T19:38:54Z,New login detected from Google Pixel 7 in Kertanegla.
94,20,ccallister2l,Password Change,246.167.50.57,MacBook Pro,Opera,Marull,97,2025-01-08T08:04:38Z,User updated security credentials successfully.
95,5,blyttle2m,Logout,224.69.64.196,Xiaomi Mi 11,Brave,Bāfq,60,2024-05-19T16:52:25Z,User ended their session from Xiaomi Mi 11 at 2024-05-19T16:52:25Z.
96,41,mirce2n,Login,100.182.36.64,Microsoft Surface Pro,Brave,Tanjungluar,36,2024-09-07T10:11:32Z,New login detected from Microsoft Surface Pro in Tanjungluar.
97,34,ablacksell2o,Login,153.93.162.69,Xiaomi Mi 11,Brave,Cisek,84,2023-12-02T07:45:50Z,New login detected from Xiaomi Mi 11 in Cisek.
98,9,nhunnywell2p,Login,75.135.240.133,Microsoft Surface Pro,Safari,Zambujeira,93,2024-11-19T00:29:03Z,New login detected from Microsoft Surface Pro in Zambujeira.
99,25,jedwardson2q,Logout,131.99.41.110,Microsoft Surface Pro,Opera,Longtanhe,87,2024-02-20T11:11:31Z,User logged out from the account on Opera.
100,24,trennenbach2r,Login,250.106.52.73,MacBook Pro,Google Chrome,Avaré,24,2023-12-31T00:05:26Z,New login detected from MacBook Pro in Avaré.
101,25,dabels2s,Logout,84.55.86.45,Samsung Galaxy S22,Opera,Ayapel,57,2024-01-31T19:00:59Z,User ended their session from Samsung Galaxy S22 at 2024-01-31T19:00:59Z.
102,12,jcurmi2t,Password Change,238.193.251.246,Xiaomi Mi 11,Safari,Ozatlán,11,2024-09-05T04:07:18Z,Password updated from Ozatlán on Xiaomi Mi 11.
103,42,lbertwistle2u,Logout,131.229.21.119,Dell XPS 13,Google Chrome,Alvalade,91,2024-11-02T14:37:17Z,User logged out of the system successfully.
104,39,omansell2v,Logout,65.116.123.41,iPhone 14,Opera,Mandalgovi,21,2025-01-31T21:44:26Z,User ended their session from iPhone 14 at 2025-01-31T21:44:26Z.
105,1,candrzejczak2w,Password Change,66.56.5.20,Microsoft Surface Pro,Safari,Boyany,83,2024-08-25T10:56:51Z,Password changed from IP 66.56.5.20 on Microsoft Surface Pro.
106,45,cfarres2x,Logout,248.159.43.28,Lenovo ThinkPad,Google Chrome,Biliri,43,2024-07-18T23:05:31Z,Session closed from IP 248.159.43.28 and Lenovo ThinkPad.
107,3,irushworth2y,Logout,74.178.134.42,iPhone 14,Mozilla Firefox,Libušín,61,2024-05-25T05:38:12Z,User signed out from their account on iPhone 14.
108,38,agabites2z,Login,12.31.7.127,Dell XPS 13,Brave,Laingsburg,86,2024-01-30T17:38:43Z,New login detected from Dell XPS 13 in Laingsburg.
109,45,mblow30,Password Change,213.36.194.114,MacBook Pro,Microsoft Edge,Tianjiazhuang,84,2024-06-28T09:50:55Z,Password reset completed for user.
110,47,sspinnace31,Password Change,1.120.188.26,MacBook Pro,Mozilla Firefox,Purwojoyo,4,2024-07-20T02:25:22Z,Password modification successful for account.
111,27,jmacalester32,Logout,153.49.67.197,Microsoft Surface Pro,Opera,Cikai,29,2024-07-09T16:32:40Z,Session terminated for user on Microsoft Surface Pro.
112,45,bfussen33,Logout,187.122.72.52,iPhone 14,Google Chrome,Gaio,45,2025-01-15T19:20:38Z,User logged out of the system successfully.
113,8,hbowe34,Logout,113.227.162.122,Xiaomi Mi 11,Opera,Tyrawa Wołoska,96,2024-01-12T17:59:34Z,Session terminated for user on Xiaomi Mi 11.
114,7,iellit35,Logout,164.93.62.111,Lenovo ThinkPad,Opera,Kangar,66,2024-05-15T17:04:06Z,User logged out from IP 164.93.62.111.
115,4,dkenwell36,Password Change,131.24.242.220,Dell XPS 13,Google Chrome,Jietou,88,2024-01-02T11:21:55Z,User updated their account password.
116,16,kbartolomeu37,Logout,106.209.56.16,Samsung Galaxy S22,Google Chrome,Viradouro,52,2024-02-04T04:32:23Z,User logged out from the account on Google Chrome.
117,35,adarinton38,Password Change,147.22.206.236,iPhone 14,Mozilla Firefox,Pinega,25,2024-03-02T03:37:48Z,Password changed from IP 147.22.206.236 on iPhone 14.
118,13,lsodo39,Logout,26.204.54.68,Dell XPS 13,Safari,Maca,40,2025-01-04T02:42:55Z,User signed out from their account on Dell XPS 13.
119,15,snormavell3a,Logout,66.105.174.229,Dell XPS 13,Mozilla Firefox,Tomice,55,2024-09-03T16:32:44Z,Logout completed from Mozilla Firefox on Dell XPS 13.
120,6,kpatrickson3b,Login,18.79.203.143,HP Pavilion Laptop,Mozilla Firefox,Pilpichaca,47,2024-02-10T16:09:07Z,Login attempt successful from Pilpichaca using Mozilla Firefox.
121,24,labrashkov3c,Logout,126.114.75.77,MacBook Pro,Google Chrome,Guchang,71,2024-07-26T05:43:28Z,Session closed from IP 126.114.75.77 and MacBook Pro.
122,8,jselbie3d,Logout,169.83.175.135,OnePlus 9,Brave,Yeniköy,100,2024-12-19T23:47:34Z,Session terminated for user on OnePlus 9.
123,25,scunniam3e,Password Change,222.73.214.82,HP Pavilion Laptop,Google Chrome,Tempuran,7,2024-09-04T14:06:24Z,User updated their account password.
124,42,aalven3f,Login,127.255.117.231,HP Pavilion Laptop,Google Chrome,Kepuh,88,2024-03-11T08:25:58Z,User accessed the account via Google Chrome from 127.255.117.231.
125,26,pmaciejak3g,Logout,165.232.165.195,Xiaomi Mi 11,Safari,Lianghe,53,2024-10-16T04:18:04Z,User logged out from the account on Safari.
126,26,jtomkins3h,Password Change,117.162.134.172,iPhone 14,Google Chrome,Néa Tríglia,78,2023-12-24T20:13:01Z,Password changed from IP 117.162.134.172 on iPhone 14.
127,45,ecruddace3i,Password Change,134.192.75.76,Samsung Galaxy S22,Mozilla Firefox,Sŭedinenie,1,2023-12-30T11:23:33Z,User updated their account password.
128,5,bvolant3j,Login,109.170.82.79,MacBook Pro,Microsoft Edge,Gijon,90,2024-04-15T17:48:43Z,User logged in from a new device: MacBook Pro at 2024-04-15T17:48:43Z.
129,38,cdedomenico3k,Password Change,121.53.149.40,Dell XPS 13,Safari,Leribe,27,2023-12-14T13:11:42Z,User updated their account password.
130,14,flyttle3l,Logout,121.137.183.130,Google Pixel 7,Opera,Shin’ichi,37,2024-01-19T15:23:14Z,User logged out of the system successfully.
131,13,ipaladino3m,Logout,40.228.9.80,Samsung Galaxy S22,Opera,Songkan,69,2025-01-01T00:24:04Z,Logout completed from Opera on Samsung Galaxy S22.
132,21,gmettetal3n,Password Change,230.169.125.196,MacBook Pro,Safari,Hanam,29,2024-06-30T23:17:45Z,Password reset completed for user.
133,29,mrosenzveig3o,Logout,159.159.6.173,Google Pixel 7,Brave,Gândara de Aquém,1,2024-05-28T21:56:44Z,Logout completed from Brave on Google Pixel 7.
134,9,etuffield3p,Logout,16.72.181.40,Lenovo ThinkPad,Google Chrome,Dingli,57,2025-01-24T18:33:45Z,Logout detected from Dingli using Lenovo ThinkPad.
135,46,bgalero3q,Logout,0.225.98.189,Microsoft Surface Pro,Google Chrome,Thulamahashi,67,2023-12-02T19:02:14Z,User logged out from IP 0.225.98.189.
136,37,gmaccrea3r,Logout,80.121.253.178,MacBook Pro,Mozilla Firefox,Parse,39,2023-12-17T00:27:10Z,Logout detected from Parse using MacBook Pro.
137,20,mdevigne3s,Logout,56.93.8.212,Lenovo ThinkPad,Opera,Paris 11,24,2024-09-24T10:50:00Z,User logged out from IP 56.93.8.212.
138,50,mcaldron3t,Login,176.88.126.178,Samsung Galaxy S22,Brave,Afaahiti,23,2024-05-05T21:43:20Z,User successfully logged into the system from Afaahiti on Samsung Galaxy S22.
139,33,ttenney3u,Logout,25.235.72.34,OnePlus 9,Microsoft Edge,Szeged,81,2024-12-12T09:44:29Z,User signed out from their account on OnePlus 9.
140,33,jjaggar3v,Logout,83.94.92.83,Google Pixel 7,Safari,Quichuay,41,2024-10-14T23:28:48Z,User signed out from their account on Google Pixel 7.
141,7,dodowne3w,Password Change,211.83.197.38,iPhone 14,Opera,Cilegong,19,2024-06-09T02:20:43Z,Password modification successful for account.
142,2,mgambell3x,Login,122.131.35.193,Google Pixel 7,Microsoft Edge,Heemstede,62,2024-11-03T08:24:52Z,User accessed the account via Microsoft Edge from 122.131.35.193.
143,13,bcaldecourt3y,Login,229.170.177.53,HP Pavilion Laptop,Safari,Ostrzeszów,86,2024-06-06T17:41:13Z,Login attempt successful from Ostrzeszów using Safari.
144,49,ddrabble3z,Login,118.176.51.148,Google Pixel 7,Safari,Kudanding,19,2024-06-08T16:33:09Z,User logged in from IP 118.176.51.148 using Safari on Google Pixel 7.
145,39,lshobrook40,Login,136.1.89.14,Dell XPS 13,Opera,Sobinka,86,2024-06-19T11:24:39Z,User logged in from IP 136.1.89.14 using Opera on Dell XPS 13.
146,18,dcatcherside41,Logout,224.115.60.171,OnePlus 9,Opera,Mananjary,32,2024-05-24T06:07:24Z,Logout completed from Opera on OnePlus 9.
147,33,smaccracken42,Login,196.202.227.127,Samsung Galaxy S22,Google Chrome,Shanguang,32,2024-11-18T11:21:16Z,New login detected from Samsung Galaxy S22 in Shanguang.
148,41,ehoopper43,Logout,188.47.113.128,Dell XPS 13,Brave,Pepayan,15,2024-06-13T11:02:57Z,Logout detected from Pepayan using Dell XPS 13.
149,1,bather44,Logout,196.238.108.251,HP Pavilion Laptop,Mozilla Firefox,Yumbel,63,2023-12-13T15:53:17Z,Session closed from IP 196.238.108.251 and HP Pavilion Laptop.
150,21,creadwin45,Login,57.226.115.169,iPhone 14,Google Chrome,Linxi,73,2024-12-06T20:04:41Z,Login detected from Linxi using iPhone 14.
151,13,eiaduccelli46,Password Change,6.9.203.246,Samsung Galaxy S22,Google Chrome,Puutuga,33,2024-12-14T23:05:05Z,Password modification successful for account.
152,18,rfendt47,Logout,254.149.45.63,Lenovo ThinkPad,Microsoft Edge,Nyamanari,66,2024-03-05T21:33:43Z,User logged out from IP 254.149.45.63.
153,7,jorthmann48,Logout,100.197.75.175,Lenovo ThinkPad,Mozilla Firefox,Eqbālīyeh,85,2024-05-10T08:41:55Z,Logout completed from Mozilla Firefox on Lenovo ThinkPad.
154,15,jstrachan49,Password Change,63.216.68.181,Xiaomi Mi 11,Safari,Melíti,57,2024-07-26T15:32:59Z,Password changed from IP 63.216.68.181 on Xiaomi Mi 11.
155,5,rboothebie4a,Logout,225.90.159.150,Google Pixel 7,Google Chrome,Jinsheng,94,2024-05-25T16:22:47Z,Logout detected from Jinsheng using Google Pixel 7.
156,37,tgallen4b,Password Change,50.154.123.150,OnePlus 9,Mozilla Firefox,Sambonggede,99,2024-10-20T20:24:26Z,User changed password successfully.
157,3,nbaxstare4c,Logout,182.214.140.130,iPhone 14,Opera,Jilili,17,2025-01-23T11:04:01Z,User ended their session from iPhone 14 at 2025-01-23T11:04:01Z.
158,38,fceeley4d,Logout,219.212.243.119,Microsoft Surface Pro,Safari,Baima,20,2024-09-21T08:36:16Z,User logged out from IP 219.212.243.119.
159,5,jstares4e,Password Change,212.86.89.11,Samsung Galaxy S22,Opera,Leduc,4,2024-08-03T14:31:53Z,Password changed from IP 212.86.89.11 on Samsung Galaxy S22.
160,31,yolver4f,Password Change,8.188.222.152,Lenovo ThinkPad,Mozilla Firefox,West Palm Beach,13,2024-01-30T03:42:44Z,User updated security credentials successfully.
161,15,karthurs4g,Password Change,23.25.138.105,Xiaomi Mi 11,Brave,Ilmajoki,99,2024-07-02T14:46:53Z,User updated security credentials successfully.
162,9,nspearman4h,Logout,100.89.176.7,Google Pixel 7,Safari,Santo Domingo,94,2025-01-20T07:13:55Z,User ended their session from Google Pixel 7 at 2025-01-20T07:13:55Z.
163,50,ebeddo4i,Logout,17.51.182.135,Google Pixel 7,Brave,Sośno,10,2024-01-25T05:10:13Z,Session terminated for user on Google Pixel 7.
164,44,dguilder4j,Logout,215.133.225.33,Samsung Galaxy S22,Brave,Tongole,67,2024-04-26T04:24:56Z,User logged out from the account on Brave.
165,18,tizacenko4k,Logout,97.183.235.98,Dell XPS 13,Safari,Bribir,48,2024-05-22T09:46:40Z,User ended their session from Dell XPS 13 at 2024-05-22T09:46:40Z.
